SNo,Date,Province/State,Country/Region,Time,Confirmed,Deaths,Recovered
1,01/22/2020,Anhui,Mainland China,17:00,80,0,0
2,01/22/2020,Beijing,Mainland China,17:00,16,0,0
3,01/22/2020,Chongqing,Mainland China,17:00,79,0,0
4,01/22/2020,Fujian,Mainland China,17:00,38,0,0
5,01/22/2020,Gansu,Mainland China,17:00,10,0,0
6,01/22/2020,Guangdong,Mainland China,17:00,31,0,0
7,01/22/2020,Guangxi,Mainland China,17:00,38,0,0
8,01/22/2020,Guizhou,Mainland China,17:00,81,0,0
9,01/22/2020,Hainan,Mainland China,17:00,75,0,0
10,01/22/2020,Hebei,Mainland China,17:00,76,0,0
11,01/22/2020,Heilongjiang,Mainland China,17:00,66,0,0
12,01/22/2020,Henan,Mainland China,17:00,98,0,0
13,01/22/2020,Hong Kong,Hong Kong,17:00,48,0,0
14,01/22/2020,Hubei,Mainland China,17:00,100,17,28
15,01/22/2020,Hunan,Mainland China,17:00,74,0,0
16,01/22/2020,Inner Mongolia,Mainland China,17:00,23,0,0
17,01/22/2020,Jiangsu,Mainland China,17:00,96,0,0
18,01/22/2020,Jiangxi,Mainland China,17:00,22,0,0
19,01/22/2020,Jilin,Mainland China,17:00,58,0,0
20,01/22/2020,Liaoning,Mainland China,17:00,99,0,0
21,01/22/2020,Macau,Macau,17:00,15,0,0
22,01/22/2020,Ningxia,Mainland China,17:00,96,0,0
23,01/22/2020,Qinghai,Mainland China,17:00,65,0,0
24,01/22/2020,Shaanxi,Mainland China,17:00,41,0,0
25,01/22/2020,Shandong,Mainland China,17:00,52,0,0
26,01/22/2020,Shanghai,Mainland China,17:00,42,0,0
27,01/22/2020,Shanxi,Mainland China,17:00,44,0,0
28,01/22/2020,Sichuan,Mainland China,17:00,72,0,0
29,01/22/2020,Taiwan,Taiwan,17:00,18,0,0
30,01/22/2020,Tianjin,Mainland China,17:00,8,0,0
31,01/22/2020,Tibet,Mainland China,17:00,9,0,0
32,01/22/2020,Washington,US,17:00,95,0,0
33,01/22/2020,Xinjiang,Mainland China,17:00,73,0,0
34,01/22/2020,Yunnan,Mainland China,17:00,20,0,0
35,01/22/2020,Zhejiang,Mainland China,17:00,47,0,0
36,01/22/2020,,Japan,17:00,82,0,0
37,01/22/2020,,Thailand,17:00,74,0,0
38,01/22/2020,,South Korea,17:00,87,0,0
39,01/23/2020,Anhui,Mainland China,17:00,42,0,0
40,01/23/2020,Beijing,Mainland China,17:00,31,0,0
41,01/23/2020,Chongqing,Mainland China,17:00,47,0,0
42,01/23/2020,Fujian,Mainland China,17:00,34,0,0
43,01/23/2020,Gansu,Mainland China,17:00,93,0,0
44,01/23/2020,Guangdong,Mainland China,17:00,77,0,2
45,01/23/2020,Guangxi,Mainland China,17:00,45,0,0
46,01/23/2020,Guizhou,Mainland China,17:00,11,0,0
47,01/23/2020,Hainan,Mainland China,17:00,64,0,0
48,01/23/2020,Hebei,Mainland China,17:00,8,1,0
49,01/23/2020,Heilongjiang,Mainland China,17:00,13,0,0
50,01/23/2020,Henan,Mainland China,17:00,98,0,0
51,01/23/2020,Hong Kong,Hong Kong,17:00,66,0,0
52,01/23/2020,Hubei,Mainland China,17:00,129,17,28
